last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,FiF,Dir,Mig,species_comments,near_ocean
53:49.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,38,F,C1,,United States,US,California,US-CA,San Francisco,US-CA-075,,32,,,Sunset District--Lawton St. @ 41st Ave.,L3246940,P,37.756771,-122.5003052,4/28/18,8:47:00,obsr131078,S45027546,Stationary,P21,EBIRD,12,NA,NA,1,1,,0,1,0,,Partly cloudy. West b3. Collared dove flock flying high and tight a la btpi on the move.,1,N,NA,"A flock of 38 north 8:47, one of these was much paler than the rest.",TRUE
52:24.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sand Dune Park,L152141,H,33.89873,-118.41236,5/4/18,7:15:00,obsr611251,S45258257,Area,P23,EBIRD,130,NA,2.0234,2,1,,0,1,0,,"The park is bursting with birds. It appears that most birds from yesterday are still here this morning, and more birds have arrived overnight, adding to yesterday's already considerable population. Notable new species are MacGillivray's Warbler and Phainopepla.----An unpleasant moment is seeing a Swainson's Thrush falling prey to a cat.",1,N,NA,several flocks of size from 3-10 flying north; unusual,TRUE
57:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,32,,,,United States,US,California,US-CA,Marin,US-CA-041,,NA,,,Rodeo Lagoon,L139567,H,37.8304863,-122.5329514,4/6/16,7:05:00,obsr20302,S28783572,Traveling,P22,EBIRD,160,4.023,NA,1,1,,0,1,0,,"Wind ENE, moderate, sunny with temperatures rising quickly to 22C/72F.  20 minute sea watch from Rodeo Beach followed by a circuit of the main lagoon.  Mammals of note: 2+ River Otters in the main lagoon.",1,N,NA,7+ present around the lagoon and 25 flew N (2 singles and a flock of 23 - all high),TRUE
31:26.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,23,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,Pacific Grove--El Carmelo Cemetery,L351478,H,36.632002,-121.931607,9/17/15,8:48:00,obsr107968,S25069971,Traveling,P22,EBIRD,35,0.483,NA,1,1,,0,1,0,,"warm, calm, sunny; fair bit of movement in local species",1,N,NA,"including tight flock of about 20 overhead, flying N towards coast",TRUE
12:56.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,48,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,Pacific Grove--yard 282 Grove Acre,L350696,P,36.6252236,-121.9317888,1/31/18,9:00:00,obsr107968,S42388749,Stationary,P21,EBIRD,15,NA,NA,1,1,,0,1,0,,"sunny, mild in yard but stiff breeze high in eucs",1,N,NA,"flights of 30, 8, and 7 over the yard, heading north",TRUE
52:04.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,18,,,,United States,US,California,US-CA,San Diego,US-CA-073,US-CA_204,32,,,South Carlsbad SB--South Ponto,L739062,H,33.0857842,-117.312869,5/2/16,8:00:00,obsr129573,S33142074,Traveling,P22,EBIRD,48,0.966,NA,1,1,,0,1,0,,,1,N,NA,all N-bound,TRUE
54:58.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,45,,,,United States,US,California,US-CA,San Diego,US-CA-073,US-CA_204,32,,,Batiquitos Lagoon--W2,L3409376,P,33.0863346,-117.3112071,5/2/16,8:48:00,obsr129573,S33142837,Traveling,P22,EBIRD,14,0.322,NA,1,1,,0,1,0,,,1,N,NA,all N-bound,TRUE
28:18.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,53,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Presidio--Battery Godfrey,L999240,H,37.8037613,-122.4774715,3/15/14,6:50:00,obsr424117,S24534826,Stationary,P21,EBIRD,270,NA,NA,1,0,,0,1,1,,Observer: Paul Saraceni,1,N,NA,multiple groups flying N,TRUE
15:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,46,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Presidio--Battery Godfrey,L999240,H,37.8037613,-122.4774715,4/29/14,7:45:00,obsr188426,S18137598,Stationary,P21,EBIRD,162,NA,NA,6,1,,0,1,1,,"<br />Submitted from BirdLog NA for iOS, version 1.7.1",1,N,NA,Several groups N,TRUE
02:43.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,17,,,,United States,US,California,US-CA,San Luis Obispo,US-CA-079,,NA,,,Old Creek--Cayucos,L1333106,H,35.4343095,-120.8875608,5/2/14,6:30:00,obsr7509,S18189563,Stationary,P21,EBIRD,15,NA,NA,1,1,,0,1,0,,"clear, 8-12 mph offshore wind, 73*F; I stopped on Studio Drive overlooking the beach to look for the Long-tailed Duck first reported by Kaaren Perry on 30 Apr 2014.",1,N,NA,flying north in groups of 4 and 13,TRUE
33:07.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,11,,,,United States,US,Oregon,US-OR,Clatsop,US-OR-007,,5,,,Coxcomb Hill (stationary),L840770,P,46.1823011,-123.8201392,5/1/15,8:00:00,obsr91249,S23165014,Stationary,P21,EBIRD,30,NA,NA,1,1,,0,1,0,,,1,N,NA,single northbound flock,TRUE
38:00.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,40,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Fay Bainbridge State Park,L387534,H,47.7032927,-122.5071716,4/19/16,6:57:00,obsr4520,S29058611,Stationary,P21,EBIRD,84,NA,NA,1,1,,0,1,0,,"Migrant watch. Active. Sunny with filtered high clouds 50's calm winds becoming light from north <br />Submitted from eBird for iOS, version 1.1.5 Build 44",1,N,NA,A handful of northbound flocks.,TRUE
53:09.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,United States,US,California,US-CA,Monterey,US-CA-053,US-CA_142,32,,,Moonglow Dairy,L306035,H,36.8103654,-121.7667337,3/31/11,7:40:00,obsr19105,S7948152,Traveling,P22,EBIRD,85,3.219,NA,2,1,G244100,0,1,0,,"Birding with Jason Burnett. Starting by quickly scanning the goose flock, and then birded the eucalyptus grove and checked out the heronry.",1,N,NA,Several high-flying flocks moving north. Unusual!,TRUE
41:59.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,20,,,,United States,US,California,US-CA,Monterey,US-CA-053,US-CA_4695,NA,,,Pt. Pinos--seawatch only,L109309,H,36.6373821,-121.9357538,3/30/16,9:15:00,obsr107968,S28640640,Traveling,P22,EBIRD,60,0.161,NA,1,1,,0,1,0,,"sunny, mild, calm; sea now quite calm after the weekend storms; low tide. Spent time watching from two benches 0.1 mi apart, one facing north and the other west. Also noted some movements in local resident landbirds (see below)",1,NA,1,"two flocks, separated by a half hour, flew over the Point before circling back inland: 3 birds in one flock, 17 in the other. Looks like some type of spring dispersal movement",TRUE
31:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,21,,,,United States,US,California,US-CA,Monterey,US-CA-053,,32,,,Monterey--Presidio (lower),L1972034,H,36.6060716,-121.8973231,5/5/18,8:09:00,obsr168237,S45292511,Traveling,P22,EBIRD,30,0.927,NA,1,1,,0,1,0,,"54°, overcast, calm. Good migrant day.--.17-, .50-",1,NA,1,Incl. two flocks of 7 and 10 each flying over (migrants?),TRUE
33:07.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,24,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Point No Point,L109542,H,47.9118696,-122.5283182,5/14/14,8:00:00,obsr302493,S18408648,Traveling,P22,EBIRD,180,3.219,NA,2,1,,0,1,0,,Loop around the point with Al Westphal: sunny and warm,1,NA,1,Flying onshore from over the Sound,TRUE
19:18.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,110,,,,Canada,CA,British Columbia,CA-BC,Alberni-Clayoquot,CA-BC-AC,CA-BC_002,NA,,,Tofino,L1193679,H,49.1527863,-125.9046078,5/4/17,7:00:00,obsr162222,S36554435,Traveling,P22,EBIRD_CAN,20,1,NA,1,1,,0,1,1,,,1,NA,NA,big numbers in town today and flying around in flocks. 75 at one feeder where there were ~10 for the previous few days.,TRUE
35:34.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,"Pt. Pinos--general (main list for Crespi, seawatch, cypresses etc)",L374642,H,36.6368817,-121.933549,4/19/17,7:55:00,obsr107968,S36093922,Traveling,P22,EBIRD,30,0.322,NA,1,1,,1,1,0,,"sunny, cool, calm; low tide, seas quite calm (Bft 2); fog bank offshore precluded viewing past red buoy, so did not use scope. Split viewing with binos from two spots, one looking north into Bay, and other looking west towards sea. No alcids or procellarids. See separate list for Crespi (not included in this list)",1,NA,NA,flock of 50 (counted by 10s) came from P.G. and circled directly over me at the Point; photo,TRUE
37:14.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,100,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Point No Point,L109542,H,47.9118696,-122.5283182,4/26/18,14:55:00,obsr234966,S44979217,Traveling,P22,EBIRD,290,3.219,NA,1,1,,1,1,1,,,1,NA,NA,"Large, tight flock flying over the park, then out over the water.  Counted 87 birds in this image.  Couldn't get every bird in the photo, so the total recorded is an estimate.  (I had originally recorded an estimate of 85.)  There were more at the park later.  Hard to know if they were additional birds or part of the big flock that had returned, so I did not add them to the count.",TRUE
24:57.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,20,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Presidio--Lobos Creek and Dunes Restoration Area,L998381,H,37.7877083,-122.4791479,5/1/14,9:20:00,obsr188426,S18164324,Traveling,P22,EBIRD,55,0.805,NA,2,1,G882232,0,1,0,,"<br />Submitted from BirdLog NA for iOS, version 1.7.1",1,NA,NA,Several flyover groups,TRUE
39:52.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,24,,,,United States,US,Washington,US-WA,Whatcom,US-WA-073,,5,,,Point Roberts--Lighthouse Marine Park,L336663,H,48.9722422,-123.0836705,4/11/18,10:00:00,obsr532875,S44492664,Traveling,P22,EBIRD,30,0.6,NA,1,1,,0,1,0,,Pretty windy and choppy out there today,1,NA,NA,This flock flew out over the water and quickly turned back into the park,TRUE
12:16.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,20,F,C1,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,Pacific Grove--El Carmelo Cemetery,L351478,H,36.632002,-121.931607,9/28/15,8:38:00,obsr168237,S25217316,Traveling,P22,EBIRD,51,0.322,NA,1,1,,0,1,0,,"<br />Submitted from BirdLog NA for iOS, version 1.8",1,NA,NA,Flock of ~20 flew over; later one heard calling also,TRUE
36:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,47,,,,Canada,CA,British Columbia,CA-BC,Capital,CA-BC-CP,,5,,,Island View Road,L344046,H,48.5725,-123.3872222,9/3/14,11:45:00,obsr12384,S19663573,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,Along Puckle Road north of Island View Rd,1,NA,NA,Flying in a disorganized line across Puckle Road. Landed on wires and in hawthorn bushes along the edge of a field.,TRUE
26:58.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,32,,,,Canada,CA,British Columbia,CA-BC,Capital,CA-BC-CP,,5,,,Glen Meadows Golf Course,L4081534,P,48.6334191,-123.4487879,12/20/15,14:20:00,obsr162222,S26389008,Traveling,P22,EBIRD_CAN,121,2,NA,1,1,,0,1,0,,"fairly thorough walk of golf course including very nice-looking habitat around pond in NE corner.  Heavy rain showers at times stopped passerine activity.  Light winds, 5' C.",1,NA,NA,big flocks flying around here!  Some landing in conifers in golf course,TRUE
43:41.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,Canada,CA,British Columbia,CA-BC,Capital,CA-BC-CP,,5,,,"Langford- Leigh road, skirt mtn",L4483329,P,48.4554489,-123.5197592,5/25/16,9:45:00,obsr18415,S29911163,Traveling,P22,EBIRD,70,1.5,NA,1,1,,0,1,0,,sunny 17C calm,1,NA,NA,hanging around in the oak- arbutus woods... not sure what they were up to.    flew off in pairs more or less,TRUE
59:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,32,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,,NA,,,Cecil Green Park UBC,L2335656,P,49.2724529,-123.2589626,4/18/16,7:30:00,obsr56743,S29044551,Traveling,P22,EBIRD_CAN,60,0.5,NA,1,1,,1,1,0,,,1,NA,NA,Single flock in flight; photo of four birds after flock alit in several trees.,TRUE
16:42.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_020,NA,,,Vancouver--Hadden & Vanier Parks,L374029,H,49.2778847,-123.1474686,5/4/17,8:30:00,obsr230544,S36540473,Traveling,P22,EBIRD,30,0.66,NA,1,1,,0,1,0,,,1,NA,NA,Flick flying low overhead,TRUE
01:32.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,21,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Wilson Creek estuary,L2313567,H,49.4383849,-123.7127495,6/11/16,14:00:00,obsr461976,S30181743,Traveling,P22,EBIRD,36,0.3,NA,1,1,,0,1,0,,"Overcast, low tide",1,NA,NA,"Flew over as one flock, probably group hanging around Hupit St,  five minutes two small groups came back, assuming same birds. Not BTPI",TRUE
06:50.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,40,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,5,,,Ketchikan (town),L1022652,H,55.3427645,-131.6462517,12/14/13,7:45:00,obsr170217,S16104056,Traveling,P22,EBIRD,405,11.265,NA,1,1,,0,1,1,,Windy and rainy all day. Birded through town from the airport ferry to Schoenbar Bypass.,1,NA,NA,All counted as they flew into to feed at Ernie DeBoer's house....likely an undercount as birds began flying in all directions once we hit 40.,TRUE
23:17.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,27,,,Unknown Sex and Age (27),United States,US,Alaska,US-AK,Sitka,US-AK-220,,NA,,,Sitka--Halibut Point SRS,L163669,H,57.102207,-135.40257,9/13/13,8:30:00,obsr417091,S15176310,Traveling,P22,EBIRD,105,0.805,NA,1,1,,0,1,1,,At Halibut Pt. Rec.,1,NA,NA,"At fist all on the wires across the street, then they came down to the beach. The more northerly section by the big rocks near the cliffs. One stood out as being very pale. Never seen this one before. The most I ever seen together. I believe this is the same group always hanging around this vicinity. They left soon after.",TRUE
20:12.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,14,,,,United States,US,Alaska,US-AK,Wrangell-Petersburg,US-AK-280,,NA,,,Wrangell--Nolan Center,L4820426,H,56.4699258,-132.3834729,7/27/16,8:00:00,obsr555211,S30874182,Traveling,P22,EBIRD,120,0.805,NA,2,1,,0,1,0,,"Overcast, intermittent light rain, little breeze, 50s. Includes grounds of Nolan Center (aka Visitor's Center, aka Museum, aka Civic Center), nearby waterfront, and town areas nearby.",1,NA,NA,Single group flying singly and in pairs from one Mountain-Ash (Sorbus sp.) tree to another,TRUE
50:45.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,NA,,,Hayward Regional Shoreline--Winton Ave. access and parking area,L470891,H,37.6465875,-122.1467042,10/21/14,7:30:00,obsr316146,S20311665,Traveling,P22,EBIRD,180,4.023,NA,18,1,,0,1,1,,"Francis led ... 58°F at start .. sunny, slight breeze .... 68°F at end ...  4-5 scopes",1,NA,NA,2 large flocks flew out of the eucalyptus tree by the turn into the final parking area of WWinton by the bathrooms ..... then a Coopers flew in .... about 10 of us witnessed these 2 large flocks fleeing,TRUE
37:39.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,United States,US,California,US-CA,Del Norte,US-CA-015,US-CA_42,5,,,Alexandre Dairy,L375293,H,41.8951218,-124.1744328,1/4/17,8:15:00,obsr252289,S33486402,Traveling,P22,EBIRD,65,0.644,NA,2,1,,0,1,0,,"Frances Oliver, Jim Rowoth and Kurt Mize arrived soon after we left.  We went back and joined them.",1,NA,NA,30 flew over us as we birded the pond and 20 more along the wires in front of the dairy.,TRUE
02:54.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,28,,,,United States,US,California,US-CA,Humboldt,US-CA-023,US-CA_43,5,,,Arcata Marsh and Wildlife Sanctuary,L189487,H,40.857361,-124.094612,12/25/14,7:20:00,obsr89777,S21019904,Traveling,P22,EBIRD,260,5.633,NA,1,1,,0,1,0,,"Clear, windy. Parked I St., Brackish Pond, I St. to KL lot, w. MT, w Allen, drove to G St. lot, LP, drove to OP, OP, drove to KL, w KL.",1,NA,NA,Left Klopp Lake pines just after dawn in several groups.,TRUE
38:20.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,13,,,,United States,US,California,US-CA,Humboldt,US-CA-023,US-CA_43,5,,,Arcata Marsh and Wildlife Sanctuary,L189487,H,40.857361,-124.094612,4/18/15,6:40:00,obsr89777,S22930471,Traveling,P22,EBIRD,130,2.414,NA,1,1,,0,1,0,,"Overcast, low tide. I St. with short distance on tracks, corner Allen, w of I St. No warbler flock until getting into car, when ~20 flew in; spent 5 minutes quickly looking through. Raccoon on tracks to west at 6:45, up on hind legs to watch me.--Conspiracy of disturbances: loud music from business on Samoa for 45 minutes; homeless man walking tracks; woman parked her pick-up 1' away from car, angling in front of it and in grass, so returned to check; jogger running back and forth on path west of Brackish Pond, so no sparrows.",1,NA,NA,11 flying out together.,TRUE
37:45.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,California,US-CA,Humboldt,US-CA-023,US-CA_43,5,,,Arcata Marsh and Wildlife Sanctuary,L189487,H,40.857361,-124.094612,4/16/15,7:10:00,obsr89777,S22894587,Traveling,P22,EBIRD,160,2.414,NA,1,1,,0,1,0,,"Clear. I St. and tracks in both directions, nw corner Allen, w MT, w KL, w of I St. Saw Chet Ogan with GD tour ~ 8, black-throated gray not seen, reappeared after they left.",1,NA,NA,"1 on wire on I St., remainder flying in group.",TRUE
44:00.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,31,,,,United States,US,California,US-CA,Humboldt,US-CA-023,US-CA_43,5,,,Mad River Estuary--School Rd. trail,L773051,H,40.9310474,-124.1274297,5/4/15,9:20:00,obsr458041,S23224734,Traveling,P22,EBIRD,110,4.828,NA,1,1,,0,1,0,,"Low tide 56F cloudy <br />Submitted from BirdLog NA for iOS, version 1.8",1,NA,NA,Large flock flying toward mad River park,TRUE
02:40.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,35,,,,United States,US,California,US-CA,Humboldt,US-CA-023,US-CA_43,5,,,Arcata Marsh and Wildlife Sanctuary,L189487,H,40.857361,-124.094612,8/26/15,18:29:00,obsr19726,S24773159,Traveling,P22,EBIRD,124,2,NA,1,1,,0,1,0,,"Speed walking through marsh except for around restoration area <br />Submitted from eBird for iOS, version 1.1.0 Build 15",1,NA,NA,Big flock flew into property to as if to roost.,TRUE
09:12.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,5,,,Work,L4108322,P,40.80321,-124.146272,4/19/17,8:28:00,obsr402351,S36093725,Traveling,P22,EBIRD,19,0.016,NA,1,1,,0,1,0,,"Overcast, slightly breezy, 52F",1,NA,NA,10 over together. Two together on telephone pole.,TRUE
01:32.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,21,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,US-CA_209,32,,,San Clemente Island--Wilson Cove (town),L241755,H,32.9961729,-118.5520506,5/27/15,15:29:00,obsr37417,S23667959,Area,P23,EBIRD,23,NA,10,1,1,,0,1,1,,"Lower loop <br />Submitted from eBird for iOS, version 0.9.1 Build 4",1,NA,NA,Possibly 22. Exact count of 21 perched but in flight counted 22.,TRUE
36:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,52,,,,United States,US,California,US-CA,Marin,US-CA-041,US-CA_146,32,,,Pt. Reyes - Drake's Monument and Willows,L2889366,P,38.0287349,-122.9639959,9/17/15,7:30:00,obsr300219,S25077051,Traveling,P22,EBIRD,30,0.161,NA,1,1,,0,1,1,,"Low fog, visibility 150 yards.",1,NA,NA,About 30 on the overhead wires and about 20 on the ground.  Dispersed toward Spaletta Ranch.,TRUE
02:01.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,Pacific Grove--yard 282 Grove Acre,L350696,P,36.6252236,-121.9317888,1/13/13,8:00:00,obsr107968,S12602458,Incidental,P20,EBIRD,NA,NA,NA,NA,1,,0,1,0,,,1,NA,NA,"flock of about 30 over the yard in a.m., including one out front giving the mating 'growl' call, and this horde of doves following . . .",TRUE
